,demand_region2,demand_region4,demand_region5,wind_region2,wind_region5,wind_region6
1980-01-01 00:00:00,-38.92,-62.55,-32.1,0.5948,0.5894,0.0735
1980-01-01 01:00:00,-37.97,-61.06,-30.36,0.5936,0.5771,0.0747
1980-01-01 02:00:00,-38.02,-58.3,-28.62,0.6078,0.6393,0.0747
1980-01-01 03:00:00,-38.86,-57.32,-27.68,0.6226,0.6921,0.0766
1980-01-01 04:00:00,-40.81,-59.19,-26.69,0.6361,0.6882,0.0729
1980-01-01 05:00:00,-45.79,-63.46,-27.46,0.6477,0.6981,0.0666
1980-01-01 06:00:00,-50.99,-67.91,-32.0,0.6536,0.7034,0.0616
1980-01-01 07:00:00,-53.73,-69.92,-37.44,0.6605,0.7018,0.0613
1980-01-01 08:00:00,-55.1,-71.07,-40.58,0.6893,0.7214,0.0675
1980-01-01 09:00:00,-56.4,-71.3,-42.65,0.7084,0.7246,0.0965
1980-01-01 10:00:00,-57.39,-71.37,-43.48,0.7315,0.7797,0.0826
1980-01-01 11:00:00,-56.9,-71.44,-43.9,0.7449,0.8408,0.0895
1980-01-01 12:00:00,-55.72,-69.71,-44.16,0.6997,0.8798,0.0914
1980-01-01 13:00:00,-54.5,-67.63,-43.82,0.634,0.9023,0.0922
1980-01-01 14:00:00,-53.89,-65.65,-43.56,0.5051,0.8831,0.0864
1980-01-01 15:00:00,-54.35,-65.08,-43.81,0.3953,0.8507,0.0678
1980-01-01 16:00:00,-56.79,-67.43,-46.47,0.417,0.8219,0.0212
1980-01-01 17:00:00,-57.58,-71.7,-48.86,0.464,0.7937,0.0323
1980-01-01 18:00:00,-56.15,-72.61,-48.71,0.4636,0.7769,0.0388
1980-01-01 19:00:00,-52.54,-69.31,-46.82,0.4674,0.7519,0.047
1980-01-01 20:00:00,-49.6,-65.98,-44.02,0.4496,0.7081,0.0572
1980-01-01 21:00:00,-47.78,-66.37,-40.49,0.4575,0.6846,0.065
1980-01-01 22:00:00,-44.02,-67.46,-36.63,0.4906,0.6776,0.0766
1980-01-01 23:00:00,-40.9,-64.78,-33.1,0.4838,0.642,0.0926
1980-01-02 00:00:00,-50.15,-69.28,-35.44,0.4629,0.627,0.1144
1980-01-02 01:00:00,-49.2,-67.79,-33.7,0.4565,0.5906,0.1314
1980-01-02 02:00:00,-49.24,-65.03,-31.96,0.4739,0.5523,0.1517
1980-01-02 03:00:00,-50.08,-64.04,-31.02,0.4939,0.5148,0.1604
1980-01-02 04:00:00,-52.03,-65.91,-30.03,0.5072,0.4432,0.1581
1980-01-02 05:00:00,-57.02,-70.18,-30.8,0.5225,0.403,0.1547
1980-01-02 06:00:00,-62.21,-74.64,-35.34,0.5348,0.3797,0.1542
1980-01-02 07:00:00,-64.95,-76.65,-40.78,0.5482,0.3671,0.1612
1980-01-02 08:00:00,-66.33,-77.8,-43.92,0.5199,0.3673,0.1723
1980-01-02 09:00:00,-67.62,-78.02,-45.99,0.5181,0.3783,0.2066
1980-01-02 10:00:00,-68.61,-78.1,-46.82,0.4937,0.4284,0.2196
1980-01-02 11:00:00,-68.13,-78.16,-47.24,0.5026,0.443,0.2199
1980-01-02 12:00:00,-66.95,-76.44,-47.5,0.5225,0.4982,0.209
1980-01-02 13:00:00,-65.73,-74.36,-47.16,0.4898,0.5204,0.1846
1980-01-02 14:00:00,-65.12,-72.37,-46.9,0.3949,0.4902,0.1598
1980-01-02 15:00:00,-65.57,-71.81,-47.15,0.3276,0.4262,0.1326
1980-01-02 16:00:00,-68.01,-74.16,-49.81,0.3439,0.4161,0.1099
1980-01-02 17:00:00,-68.81,-78.43,-52.2,0.3303,0.4462,0.1019
1980-01-02 18:00:00,-67.38,-79.34,-52.05,0.3297,0.4267,0.1064
1980-01-02 19:00:00,-63.77,-76.04,-50.16,0.3618,0.3978,0.1099
1980-01-02 20:00:00,-60.83,-72.7,-47.36,0.4236,0.3731,0.1095
1980-01-02 21:00:00,-59.01,-73.09,-43.83,0.4608,0.3547,0.1081
1980-01-02 22:00:00,-55.25,-74.19,-39.97,0.5048,0.3601,0.1144
1980-01-02 23:00:00,-52.13,-71.51,-36.44,0.5112,0.3702,0.1169
1980-01-03 00:00:00,-51.53,-73.0,-34.12,0.5464,0.431,0.1186
1980-01-03 01:00:00,-50.58,-71.51,-32.38,0.5975,0.5088,0.116
1980-01-03 02:00:00,-50.63,-68.75,-30.64,0.6274,0.569,0.1092
1980-01-03 03:00:00,-51.47,-67.77,-29.71,0.6426,0.6242,0.1107
1980-01-03 04:00:00,-53.41,-69.64,-28.71,0.6597,0.6447,0.1099
1980-01-03 05:00:00,-58.4,-73.9,-29.49,0.6951,0.6745,0.1081
1980-01-03 06:00:00,-63.6,-78.36,-34.02,0.7347,0.7019,0.1057
1980-01-03 07:00:00,-66.34,-80.37,-39.46,0.7649,0.7257,0.1021
1980-01-03 08:00:00,-67.71,-81.52,-42.6,0.8154,0.759,0.1023
1980-01-03 09:00:00,-69.01,-81.75,-44.68,0.8697,0.7899,0.1394
1980-01-03 10:00:00,-70.0,-81.82,-45.51,0.8939,0.8185,0.1409
1980-01-03 11:00:00,-69.51,-81.89,-45.93,0.9304,0.8336,0.1634
1980-01-03 12:00:00,-68.33,-80.16,-46.18,0.9524,0.8568,0.2068
1980-01-03 13:00:00,-67.11,-78.08,-45.85,0.9622,0.8769,0.2223
1980-01-03 14:00:00,-66.5,-76.09,-45.59,0.9601,0.8837,0.2146
1980-01-03 15:00:00,-66.96,-75.53,-45.83,0.9446,0.8798,0.1575
1980-01-03 16:00:00,-69.4,-77.88,-48.49,0.9459,0.8735,0.042
1980-01-03 17:00:00,-70.19,-82.15,-50.88,0.9605,0.8783,0.0436
1980-01-03 18:00:00,-68.76,-83.06,-50.73,0.9679,0.8821,0.0528
1980-01-03 19:00:00,-65.15,-79.76,-48.84,0.9729,0.88,0.0602
1980-01-03 20:00:00,-62.21,-76.42,-46.05,0.9773,0.8764,0.0697
1980-01-03 21:00:00,-60.39,-76.81,-42.52,0.9817,0.8806,0.08
1980-01-03 22:00:00,-56.63,-77.91,-38.66,0.9841,0.8853,0.0872
1980-01-03 23:00:00,-53.51,-75.23,-35.13,0.9858,0.8888,0.0951
1980-01-04 00:00:00,-51.69,-71.97,-36.07,0.9822,0.8841,0.1025
1980-01-04 01:00:00,-50.74,-70.48,-34.33,0.975,0.8689,0.1104
1980-01-04 02:00:00,-50.79,-67.72,-32.59,0.9642,0.8525,0.1131
1980-01-04 03:00:00,-51.63,-66.73,-31.66,0.948,0.8182,0.1244
1980-01-04 04:00:00,-53.57,-68.6,-30.66,0.9492,0.7712,0.1258
1980-01-04 05:00:00,-58.56,-72.87,-31.44,0.95,0.7086,0.1221
1980-01-04 06:00:00,-63.76,-77.33,-35.97,0.9453,0.6689,0.1229
1980-01-04 07:00:00,-66.5,-79.34,-41.41,0.9396,0.6179,0.1233
1980-01-04 08:00:00,-67.87,-80.49,-44.55,0.9677,0.5676,0.1358
1980-01-04 09:00:00,-69.16,-80.71,-46.63,0.994,0.5147,0.1679
1980-01-04 10:00:00,-70.16,-80.79,-47.46,0.9965,0.5011,0.2108
1980-01-04 11:00:00,-69.67,-80.85,-47.88,0.9957,0.5023,0.2505
1980-01-04 12:00:00,-68.49,-79.12,-48.14,0.9951,0.5034,0.2895
1980-01-04 13:00:00,-67.27,-77.05,-47.8,0.994,0.504,0.3148
1980-01-04 14:00:00,-66.66,-75.06,-47.54,0.9881,0.4492,0.327
1980-01-04 15:00:00,-67.12,-74.5,-47.78,0.9776,0.3678,0.3099
1980-01-04 16:00:00,-69.56,-76.85,-50.45,0.9608,0.3255,0.1232
1980-01-04 17:00:00,-70.35,-81.12,-52.83,0.9405,0.3038,0.0904
1980-01-04 18:00:00,-68.92,-82.03,-52.68,0.9185,0.2879,0.1114
1980-01-04 19:00:00,-65.31,-78.73,-50.79,0.8468,0.2635,0.1283
1980-01-04 20:00:00,-62.37,-75.39,-48.0,0.76,0.2392,0.1395
1980-01-04 21:00:00,-60.55,-75.78,-44.47,0.7156,0.216,0.1553
1980-01-04 22:00:00,-56.79,-76.88,-40.61,0.6946,0.2039,0.1704
1980-01-04 23:00:00,-53.67,-74.2,-37.08,0.6601,0.1935,0.1828
1980-01-05 00:00:00,-52.96,-72.47,-37.53,0.6161,0.1875,0.1972
1980-01-05 01:00:00,-52.01,-70.98,-35.79,0.584,0.1834,0.2141
1980-01-05 02:00:00,-52.05,-68.23,-34.05,0.577,0.1753,0.2251
1980-01-05 03:00:00,-52.9,-67.24,-33.12,0.557,0.166,0.205
1980-01-05 04:00:00,-54.84,-69.11,-32.12,0.5256,0.1613,0.208
1980-01-05 05:00:00,-59.83,-73.38,-32.89,0.5091,0.1585,0.2068
1980-01-05 06:00:00,-65.02,-77.84,-37.43,0.4567,0.1588,0.1938
1980-01-05 07:00:00,-67.77,-79.84,-42.87,0.4619,0.1658,0.1915
1980-01-05 08:00:00,-69.14,-80.99,-46.01,0.4662,0.1762,0.1927
1980-01-05 09:00:00,-70.43,-81.22,-48.08,0.5657,0.1961,0.2286
1980-01-05 10:00:00,-71.42,-81.3,-48.92,0.7414,0.2117,0.2142
1980-01-05 11:00:00,-70.94,-81.36,-49.34,0.7866,0.2463,0.2165
1980-01-05 12:00:00,-69.76,-79.63,-49.59,0.7455,0.2583,0.2197
1980-01-05 13:00:00,-68.54,-77.56,-49.26,0.6773,0.2592,0.2238
1980-01-05 14:00:00,-67.93,-75.57,-49.0,0.5535,0.2391,0.2255
1980-01-05 15:00:00,-68.38,-75.01,-49.24,0.3384,0.2318,0.21
