locs,techs,lookup_loc_techs
region1,baseload,region1::baseload::power
region1,peaking,region1::peaking::power
region1,transmission_other:region2,region1::transmission_other:region2::power
region1,transmission_other:region6,region1::transmission_other:region6::power
region1,transmission_region1to5:region5,region1::transmission_region1to5:region5::power
region2,demand_power,region2::demand_power::power
region2,transmission_other:region1,region2::transmission_other:region1::power
region2,transmission_other:region3,region2::transmission_other:region3::power
region2,unmet,region2::unmet::power
region2,wind,region2::wind::power
region3,baseload,region3::baseload::power
region3,peaking,region3::peaking::power
region3,transmission_other:region2,region3::transmission_other:region2::power
region3,transmission_other:region4,region3::transmission_other:region4::power
region4,demand_power,region4::demand_power::power
region4,transmission_other:region3,region4::transmission_other:region3::power
region4,transmission_other:region5,region4::transmission_other:region5::power
region4,unmet,region4::unmet::power
region5,demand_power,region5::demand_power::power
region5,transmission_other:region4,region5::transmission_other:region4::power
region5,transmission_other:region6,region5::transmission_other:region6::power
region5,transmission_region1to5:region1,region5::transmission_region1to5:region1::power
region5,unmet,region5::unmet::power
region5,wind,region5::wind::power
region6,baseload,region6::baseload::power
region6,peaking,region6::peaking::power
region6,transmission_other:region1,region6::transmission_other:region1::power
region6,transmission_other:region5,region6::transmission_other:region5::power
region6,wind,region6::wind::power
