locs,techs,lookup_remotes
region1,transmission_other:region2,region2::transmission_other:region1
region1,transmission_other:region6,region6::transmission_other:region1
region1,transmission_region1to5:region5,region5::transmission_region1to5:region1
region2,transmission_other:region1,region1::transmission_other:region2
region2,transmission_other:region3,region3::transmission_other:region2
region3,transmission_other:region2,region2::transmission_other:region3
region3,transmission_other:region4,region4::transmission_other:region3
region4,transmission_other:region3,region3::transmission_other:region4
region4,transmission_other:region5,region5::transmission_other:region4
region5,transmission_other:region4,region4::transmission_other:region5
region5,transmission_other:region6,region6::transmission_other:region5
region5,transmission_region1to5:region1,region1::transmission_region1to5:region5
region6,transmission_other:region1,region1::transmission_other:region6
region6,transmission_other:region5,region5::transmission_other:region6
