locs,techs,timesteps,resource
region2,demand_power,2017-01-01 00:00:00,-38.92
region2,demand_power,2017-01-01 01:00:00,-37.97
region2,demand_power,2017-01-01 02:00:00,-38.02
region2,demand_power,2017-01-01 03:00:00,-38.86
region2,demand_power,2017-01-01 04:00:00,-40.81
region2,demand_power,2017-01-01 05:00:00,-45.79
region2,demand_power,2017-01-01 06:00:00,-50.99
region2,demand_power,2017-01-01 07:00:00,-53.73
region2,demand_power,2017-01-01 08:00:00,-55.1
region2,demand_power,2017-01-01 09:00:00,-56.4
region2,demand_power,2017-01-01 10:00:00,-57.39
region2,demand_power,2017-01-01 11:00:00,-56.9
region2,demand_power,2017-01-01 12:00:00,-55.72
region2,demand_power,2017-01-01 13:00:00,-54.5
region2,demand_power,2017-01-01 14:00:00,-53.89
region2,demand_power,2017-01-01 15:00:00,-54.35
region2,demand_power,2017-01-01 16:00:00,-56.79
region2,demand_power,2017-01-01 17:00:00,-57.58
region2,demand_power,2017-01-01 18:00:00,-56.15
region2,demand_power,2017-01-01 19:00:00,-52.54
region2,demand_power,2017-01-01 20:00:00,-49.6
region2,demand_power,2017-01-01 21:00:00,-47.78
region2,demand_power,2017-01-01 22:00:00,-44.02
region2,demand_power,2017-01-01 23:00:00,-40.9
region2,demand_power,2017-01-02 00:00:00,-50.15
region2,demand_power,2017-01-02 01:00:00,-49.2
region2,demand_power,2017-01-02 02:00:00,-49.24
region2,demand_power,2017-01-02 03:00:00,-50.08
region2,demand_power,2017-01-02 04:00:00,-52.03
region2,demand_power,2017-01-02 05:00:00,-57.02
region2,demand_power,2017-01-02 06:00:00,-62.21
region2,demand_power,2017-01-02 07:00:00,-64.95
region2,demand_power,2017-01-02 08:00:00,-66.33
region2,demand_power,2017-01-02 09:00:00,-67.62
region2,demand_power,2017-01-02 10:00:00,-68.61
region2,demand_power,2017-01-02 11:00:00,-68.13
region2,demand_power,2017-01-02 12:00:00,-66.95
region2,demand_power,2017-01-02 13:00:00,-65.73
region2,demand_power,2017-01-02 14:00:00,-65.12
region2,demand_power,2017-01-02 15:00:00,-65.57
region2,demand_power,2017-01-02 16:00:00,-68.01
region2,demand_power,2017-01-02 17:00:00,-68.81
region2,demand_power,2017-01-02 18:00:00,-67.38
region2,demand_power,2017-01-02 19:00:00,-63.77
region2,demand_power,2017-01-02 20:00:00,-60.83
region2,demand_power,2017-01-02 21:00:00,-59.01
region2,demand_power,2017-01-02 22:00:00,-55.25
region2,demand_power,2017-01-02 23:00:00,-52.13
region2,demand_power,2017-01-03 00:00:00,-51.53
region2,demand_power,2017-01-03 01:00:00,-50.58
region2,demand_power,2017-01-03 02:00:00,-50.63
region2,demand_power,2017-01-03 03:00:00,-51.47
region2,demand_power,2017-01-03 04:00:00,-53.41
region2,demand_power,2017-01-03 05:00:00,-58.4
